[30/May/2026:09:28:45 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.109s
[30/May/2026:09:28:45 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.053s
[30/May/2026:09:28:46 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.083s
[30/May/2026:09:29:00 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.065s
[30/May/2026:09:29:08 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.057s
[30/May/2026:09:29:09 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.049s
[30/May/2026:09:29:10 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.053s
[30/May/2026:09:29:10 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.053s
[30/May/2026:09:29:11 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.053s
[30/May/2026:09:29:13 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.045s
[30/May/2026:09:29:14 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.060s
[30/May/2026:09:29:14 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.050s
[30/May/2026:09:29:17 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.056s
[30/May/2026:09:29:18 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.058s
[30/May/2026:09:29:18 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.052s
[30/May/2026:09:29:18 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.083s
[30/May/2026:09:29:19 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.152s
[30/May/2026:09:29:20 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.050s
[30/May/2026:09:29:20 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.045s
[30/May/2026:09:29:20 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.053s
[30/May/2026:09:29:21 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.057s
[30/May/2026:09:29:21 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.047s
[30/May/2026:09:29:21 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.040s
[30/May/2026:09:29:22 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.050s
[30/May/2026:09:29:22 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.051s
[30/May/2026:09:29:22 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.037s
[30/May/2026:09:29:23 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.052s
[30/May/2026:09:29:23 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.071s
[30/May/2026:09:29:23 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 200 | Time: 0.092s
[30/May/2026:09:31:00 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.018s
[30/May/2026:09:31:41 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.019s
[30/May/2026:09:31:42 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.012s
[30/May/2026:09:31:47 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.013s
[30/May/2026:09:31:50 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.011s
[30/May/2026:09:33:30 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.018s
[30/May/2026:09:33:31 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.012s
[30/May/2026:09:33:31 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.008s
[30/May/2026:09:33:31 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.008s
[30/May/2026:09:34:15 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.022s
[30/May/2026:09:34:16 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.012s
[30/May/2026:09:34:16 +0000] IP: 172.20.10.14 | Request: "GET / HTTP/1.1" | Status: 404 | Time: 0.012s
[30/May/2026:09:34:22 +0000] IP: 172.20.10.14 | Request: "GET /main/ HTTP/1.1" | Status: 404 | Time: 0.016s
[30/May/2026:09:34:27 +0000] IP: 172.20.10.14 | Request: "GET /admin/ HTTP/1.1" | Status: 302 | Time: 0.014s
